customer_id,plan,usage,payments,support_tickets,months_active,failed_payments,nps_score,discount_percent,churned
CUST-00445,Basic,29.15,6,1,7,1,6.0,5,1
CUST-00446,Pro,59.1,2,5,2,0,8.8,10,0
CUST-00447,Enterprise,232.93,37,0,45,0,10.0,0,0
CUST-00448,Pro,118.61,45,4,46,0,6.9,0,0
CUST-00449,Basic,48.95,26,1,35,1,8.0,20,1
CUST-00450,Pro,82.28,4,3,5,0,4.5,0,0
CUST-00451,Basic,22.4,12,0,14,2,5.5,5,1
CUST-00452,Enterprise,171.68,2,1,2,0,10.0,0,0
CUST-00453,Pro,64.6,3,1,3,0,5.2,0,1
CUST-00454,Basic,41.22,11,3,12,1,8.3,0,1
CUST-00455,Basic,67.09,26,2,27,0,10.0,10,0
CUST-00456,Basic,36.33,3,1,4,0,7.0,0,0
CUST-00457,Enterprise,186.8,33,1,47,0,10.0,10,0
CUST-00458,Pro,93.79,16,1,22,0,10.0,5,0
CUST-00459,Pro,82.28,9,2,13,0,7.1,0,1
CUST-00460,Pro,81.52,20,3,25,0,8.9,0,0
CUST-00461,Pro,91.11,33,5,38,0,5.8,0,1
CUST-00462,Basic,59.33,12,4,15,0,6.1,0,1
CUST-00463,Enterprise,143.55,3,1,3,0,7.7,5,0
CUST-00464,Basic,3.36,3,6,3,0,6.0,0,1
CUST-00465,Pro,99.21,38,2,41,0,9.9,0,1
CUST-00466,Pro,94.61,6,3,6,0,7.3,5,0
CUST-00467,Pro,112.96,24,1,30,0,6.5,5,0
CUST-00468,Enterprise,169.99,16,1,19,0,7.5,0,0
CUST-00469,Basic,54.46,33,1,37,1,8.0,5,0
CUST-00470,Pro,82.42,3,3,3,0,10.0,0,0
CUST-00471,Basic,46.32,35,4,43,2,6.3,5,0
CUST-00472,Pro,101.03,27,0,33,0,8.1,0,0
CUST-00473,Basic,63.06,21,1,22,0,9.2,0,0
CUST-00474,Basic,52.74,9,0,10,0,7.8,0,0
CUST-00475,Basic,40.73,34,5,46,1,5.2,5,0
CUST-00476,Basic,21.7,13,2,15,0,5.5,5,1
CUST-00477,Basic,44.96,24,3,24,0,9.3,0,0
CUST-00478,Pro,121.97,14,1,19,0,4.6,10,0
CUST-00479,Pro,47.02,11,2,11,0,8.7,10,1
CUST-00480,Basic,44.41,15,3,20,0,6.3,0,0
CUST-00481,Basic,10.43,7,0,8,3,5.5,5,1
CUST-00482,Basic,15.28,1,1,1,0,10.0,0,0
CUST-00483,Pro,77.64,10,2,14,0,6.6,20,1
CUST-00484,Basic,21.43,6,2,6,2,5.0,0,1
CUST-00485,Basic,29.79,17,3,20,0,6.6,0,0
CUST-00486,Basic,56.23,42,4,41,0,7.5,0,1
CUST-00487,Pro,73.57,6,0,8,0,7.7,0,0
CUST-00488,Basic,1.0,1,1,1,1,4.1,5,1
CUST-00489,Pro,88.84,6,3,6,0,6.2,0,0
CUST-00490,Pro,106.75,21,2,24,0,10.0,0,0
CUST-00491,Pro,102.88,10,0,13,1,8.4,0,0
CUST-00492,Pro,69.87,23,0,24,0,9.1,10,0
CUST-00493,Pro,76.58,2,3,2,2,6.0,10,1
CUST-00494,Basic,45.77,16,4,16,1,5.1,0,0
CUST-00495,Pro,73.24,17,1,20,1,10.0,0,0
CUST-00496,Pro,86.27,17,4,21,0,6.9,0,0
CUST-00497,Basic,44.91,19,2,26,0,6.7,10,0
CUST-00498,Pro,138.06,35,2,37,0,10.0,5,0
CUST-00499,Basic,78.04,23,2,22,0,6.6,5,0
CUST-00500,Pro,77.64,28,2,40,0,6.8,10,0
